Year,Month,Cost Centre,Account,Account Description,Account Type,Amount
2019,Jan,CC100,1000000,Product Sales,Revenue,1344.051
2019,Jan,CC100,1000001,Licensing Revenue,Revenue,480.968
2019,Jan,CC100,1000002,Service Revenue,Revenue,650.82
2019,Jan,CC100,1000004,Fee Revenue,Revenue,339.36
2019,Jan,CC100,2000000,Cost of Good Sold,Expense,1125.328
2019,Jan,CC100,2000001,Staff Expenses,Expense,412.088
2019,Jan,CC100,2000002,Technology Expenses,Expense,259.488
2019,Jan,CC100,2000003,Property Expenses,Expense,376.697
2019,Jan,CC100,2000005,Purchases,Expense,1105.277
2019,Jan,CC100,3000000,Cash at Bank,Asset,476.713
2019,Jan,CC100,3000001,Inventory,Asset,980
2019,Jan,CC100,3000002,Accounts Receivable,Asset,385.275
2019,Jan,CC100,4000001,Accounts Payable,Liability,980
2019,Jan,CC101,1000000,Product Sales,Revenue,1296.06
2019,Jan,CC101,1000001,Licensing Revenue,Revenue,459.764
2019,Jan,CC101,1000002,Service Revenue,Revenue,512.169
2019,Jan,CC101,1000004,Fee Revenue,Revenue,732.538
2019,Jan,CC101,2000000,Cost of Good Sold,Expense,1404.449
2019,Jan,CC101,2000001,Staff Expenses,Expense,584.214
2019,Jan,CC101,2000002,Technology Expenses,Expense,306.435
2019,Jan,CC101,2000003,Property Expenses,Expense,318.227
2019,Jan,CC101,2000005,Purchases,Expense,1531.884
2019,Jan,CC101,3000000,Cash at Bank,Asset,464.197
2019,Jan,CC101,3000001,Inventory,Asset,980
2019,Jan,CC101,3000002,Accounts Receivable,Asset,491.607
2019,Jan,CC101,4000001,Accounts Payable,Liability,200
2019,Jan,CC102,1000000,Product Sales,Revenue,244.447
2019,Jan,CC102,1000001,Licensing Revenue,Revenue,776.767
2019,Jan,CC102,1000002,Service Revenue,Revenue,872.102
2019,Jan,CC102,1000004,Fee Revenue,Revenue,690.433
2019,Jan,CC102,2000000,Cost of Good Sold,Expense,53.563
2019,Jan,CC102,2000001,Staff Expenses,Expense,529.574
2019,Jan,CC102,2000002,Technology Expenses,Expense,450.893
2019,Jan,CC102,2000003,Property Expenses,Expense,454.857
2019,Jan,CC102,2000005,Purchases,Expense,43.042
2019,Jan,CC102,3000000,Cash at Bank,Asset,-296.261
2019,Jan,CC102,3000001,Inventory,Asset,980
2019,Jan,CC102,3000002,Accounts Receivable,Asset,158.931
2019,Jan,CC102,4000001,Accounts Payable,Liability,-980
2019,Jan,CC200,1000000,Product Sales,Revenue,994.789
